급수,한자,훈,음,유사어,반대어
8급,一,한,일,,
8급,二,두,이,,
8급,三,석,삼,,
8급,四,넉,사,,
8급,五,다섯,오,,
8급,六,여섯,륙,,
8급,七,일곱,칠,,
8급,八,여덟,팔,,
8급,九,아홉,구,,
8급,十,열,십,,
8급,萬,일만,만,百(일백 백) / 千(일천 천) / 億(억 억),
8급,大,큰,대,太(클 태),小(작을 소)
8급,小,작을,소,少(적을 소),大(큰 대) / 太(클 태)
8급,長,긴,장,,短(짧을 단)
8급,日,날,일,陽(볕 양),夜(밤 야) / 月(달 월)
8급,月,달,월,,日(날 일)
8급,年,해,년,,
8급,火,불,화,,水(물 수)
8급,水,물,수,川(내 천) / 江(강 강) / 海(바다 해) / 洋(큰바다 양),火(불 화)
8급,木,나무,목,樹(나무 수) / 林(수풀 림),
8급,金,쇠,금(김),銀(은 은),
8급,土,흙,토,地(땅 지) / 野(들 야) / 田(밭 전),
8급,山,뫼,산,,川(내 천) / 野(들 야) / 海(바다 해)
8급,靑,푸를,청,綠(푸를 록) / 淸(맑을 청),白(흰 백)
8급,白,흰,백,,靑(푸를 청)
8급,父,아비,부,,母(어미 모)
8급,母,어미,모,,父(아비 부)
8급,兄,형,형,,弟(아우 제)
8급,弟,아우,제,,兄(형 형)
8급,人,사람,인,者(사람 자) / 民(백성 민),
8급,女,계집,녀,,男(사내 남)
8급,東,동녘,동,,西(서녘 서)
8급,西,서녘,서,,東(동녘 동)
8급,南,남녘,남,,北(북녘 북(배))
8급,北,북녘,북(배),,南(남녘 남)
8급,外,바깥,외,,內(안 내)
8급,中,가운데,중,間(사이 간),
8급,室,집,실,家(집 가) / 堂(집 당),
8급,門,문,문,,
8급,學,배울,학,習(익힐 습) / 讀(읽을 독(두)) / 課(공부할 과),敎(가르칠 교)
8급,校,학교,교,,
8급,敎,가르칠,교,訓(가르칠 훈) / 師(스승 사) / 育(기를 육),學(배울 학)
8급,生,날,생,活(살 활) / 存(있을 존),死(죽을 사)
8급,國,나라,국,,
8급,王,임금,왕,主(임금/주인 주) / 君(임금 군),民(백성 민) / 臣(신하 신)
8급,民,백성,민,人(사람 인) / 者(사람 자),王(임금 왕) / 君(임금 군)
8급,軍,군대,군,兵(병사 병) / 戰(싸움 전),
8급,韓,한국/나라,한,,
8급,先,먼저,선,,後(뒤 후)
8급,寸,마디,촌,,
7급,百,일백,백,千(일천 천) / 萬(일만 만) / 億(억 억),
7급,千,일천,천,百(일백 백) / 萬(일만 만) / 億(억 억),
7급,數,셈,수,算(셈 산) / 計(셀 계),
7급,算,셈,산,數(셈 수) / 計(셀 계),
7급,夕,저녁,석,夜(밤 야),朝(아침 조) / 晝(낮 주)
7급,川,내,천,江(강 강) / 水(물 수),山(뫼 산)
7급,地,땅,지,野(들 야) / 土(흙 토) / 田(밭 전),天(하늘 천)
7급,天,하늘,천,,地(땅 지)
7급,春,봄,춘,,秋(가을 추)
7급,夏,여름,하,,冬(겨울 동)
7급,秋,가을,추,,春(봄 춘)
7급,冬,겨울,동,,夏(여름 하)
7급,草,풀,초,木(나무 목) / 樹(나무 수) / 林(수풀 림),
7급,花,꽃,화,,
7급,林,수풀,림,草(풀 초) / 樹(나무 수) / 木(나무 목),
7급,色,빛,색,光(빛 광),
7급,夫,지아비,부,,妻(아내 처)
7급,祖,할아비,조,,孫(손자 손)
7급,老,늙을,로,,少(적을 소) / 童(아이 동)
7급,主,임금/주인,주,王(임금 왕) / 君(임금 군),客(손 객)
7급,面,낯,면,,
7급,口,입,구,,
7급,命,목숨,명,,
7급,所,바,소,處(곳 처) / 位(자리 위) / 席(자리 석) / 場(마당 장),
